date,SP,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M,SH2M,RH2M,Rainfall,T2M,T2MDEW,T2MWET,TSkin,T2M_RANGE,T2M_MAX,T2M_MIN,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,WD50M
1981-02-15,99.37,1.56,2.54,0.59,1.95,232.56,3.91,96.0,0.13,0.83,0.23,0.53,0.31,5.26,3.6,-1.66,2.21,3.02,0.87,2.15,234.19
1981-02-16,99.75,1.97,4.84,0.06,4.77,84.81,4.39,95.12,0.23,2.64,1.96,2.3,2.05,5.67,6.25,0.58,3.16,7.0,0.15,6.85,85.75
1981-02-17,99.84,5.96,8.13,4.28,3.84,116.44,3.91,93.5,0.12,1.31,0.34,0.83,1.27,5.74,4.84,-0.9,8.11,10.02,6.16,3.86,116.81
1981-02-18,99.56,5.15,6.44,3.36,3.09,100.38,3.17,92.12,0.15,-1.22,-2.52,-1.87,-1.19,5.22,1.88,-3.35,7.21,8.14,6.33,1.8,100.94
1981-02-19,99.56,4.73,6.48,3.0,3.48,75.69,3.17,92.56,0.55,-1.21,-2.46,-1.84,-1.24,5.25,1.78,-3.47,6.73,8.2,5.42,2.77,76.94
1981-02-20,99.5,2.33,3.72,0.96,2.76,66.69,2.93,85.62,0.27,-1.13,-3.45,-2.29,-1.3,4.05,1.33,-2.72,3.21,5.02,1.48,3.55,66.75
1981-02-21,98.51,5.78,8.43,1.74,6.69,152.44,3.36,92.25,9.96,-0.86,-2.05,-1.45,-0.99,3.62,0.99,-2.63,7.9,10.45,3.08,7.38,153.12
1981-02-22,97.67,3.5,4.88,2.82,2.06,111.56,3.66,95.5,2.59,-0.16,-0.86,-0.51,-0.17,4.3,1.74,-2.56,5.13,7.27,3.41,3.87,112.81
1981-02-23,98.18,5.86,7.79,3.6,4.19,79.94,3.78,97.0,5.03,0.19,-0.26,-0.03,-0.06,4.57,1.73,-2.85,8.13,10.06,5.8,4.27,81.12
1981-02-24,99.58,2.91,3.63,1.98,1.66,96.12,2.99,92.25,0.05,-1.93,-3.27,-2.6,-2.03,5.7,1.51,-4.18,4.27,5.33,2.89,2.44,96.25
1981-02-25,99.74,4.13,5.79,2.7,3.09,134.62,2.87,89.69,0.05,-1.95,-3.68,-2.81,-2.36,5.9,1.26,-4.64,6.25,8.55,5.16,3.38,134.88
1981-02-26,99.12,7.8,9.59,5.88,3.71,117.56,3.42,96.5,0.28,-1.1,-1.7,-1.4,-1.2,4.2,1.01,-3.2,10.15,12.39,8.4,3.99,118.0
1981-02-27,97.12,11.76,14.94,8.95,5.98,115.56,3.97,95.94,4.29,0.62,0.02,0.32,0.48,3.85,2.49,-1.37,15.02,19.2,12.11,7.1,116.94
1981-02-28,96.51,4.28,6.76,2.74,4.02,164.38,4.76,95.75,0.73,3.05,2.48,2.76,2.36,6.72,6.98,0.26,7.07,10.01,4.75,5.26,165.62
1981-03-01,96.39,8.53,10.95,5.55,5.41,160.81,5.49,95.94,11.63,5.21,4.63,4.92,4.81,3.83,6.83,3.0,11.51,14.36,8.41,5.95,162.62
1981-03-02,96.54,6.51,7.84,4.76,3.09,105.56,5.37,96.62,8.05,4.73,4.26,4.5,4.65,2.38,6.26,3.88,8.42,10.12,6.18,3.95,107.0
1981-03-03,97.98,6.16,8.64,2.54,6.1,40.88,4.39,92.06,0.69,2.72,1.53,2.12,2.66,8.62,5.83,-2.79,8.46,11.13,4.77,6.37,42.38
1981-03-04,98.64,2.41,2.86,1.6,1.27,150.38,3.42,89.19,0.56,0.01,-1.71,-0.85,0.12,6.11,3.0,-3.12,3.72,5.59,2.84,2.75,151.5
1981-03-05,97.85,4.95,7.5,1.84,5.66,180.62,4.7,96.12,9.63,3.23,2.67,2.94,3.08,3.8,5.39,1.58,7.03,9.75,3.52,6.23,181.5
1981-03-06,97.19,5.94,7.07,5.02,2.05,213.94,6.41,95.75,2.52,7.51,6.88,7.19,7.4,5.51,10.05,4.54,8.04,9.0,6.84,2.16,215.31
1981-03-07,97.01,9.84,11.43,6.62,4.8,207.56,7.57,97.12,10.71,9.7,9.29,9.5,9.43,2.85,10.48,7.62,13.02,15.18,8.68,6.5,209.31
1981-03-08,97.02,8.15,11.47,5.3,6.16,230.75,7.26,96.25,5.84,9.26,8.71,8.98,9.15,2.01,10.17,8.16,10.85,14.59,7.77,6.83,232.0
1981-03-09,97.83,5.92,8.12,3.44,4.68,228.0,7.2,97.44,30.45,9.05,8.69,8.87,8.78,2.31,10.18,7.86,8.27,10.7,5.61,5.09,229.19
1981-03-10,97.48,7.8,10.4,4.7,5.7,203.19,7.51,97.19,23.59,9.76,9.36,9.56,9.55,2.2,11.26,9.06,10.32,13.54,6.81,6.73,204.94
1981-03-11,96.92,7.73,10.95,5.52,5.43,238.62,7.2,97.12,11.39,9.01,8.59,8.8,8.83,2.19,9.94,7.76,10.32,14.12,7.71,6.41,239.94
1981-03-12,97.11,5.47,7.38,3.98,3.39,214.31,6.41,93.19,3.13,7.93,6.87,7.4,7.89,4.76,10.83,6.07,7.44,9.24,4.91,4.34,215.69
1981-03-13,96.23,6.39,7.49,3.34,4.16,235.06,6.23,96.81,11.82,6.87,6.42,6.65,6.73,3.07,8.19,5.12,8.44,9.63,4.64,4.99,236.69
1981-03-14,97.16,3.34,7.2,0.33,6.87,149.81,5.13,90.0,1.35,5.39,3.79,4.58,5.63,5.2,8.55,3.36,5.06,9.54,0.48,9.05,150.38
1981-03-15,98.3,3.84,6.16,2.56,3.59,196.44,5.0,90.75,0.88,4.91,3.5,4.2,5.07,5.01,7.87,2.87,5.5,7.77,4.08,3.68,197.06
1981-03-16,98.75,5.22,8.27,3.57,4.7,327.25,4.27,90.62,1.68,2.76,1.36,2.06,2.69,4.07,4.96,0.89,7.55,10.38,5.9,4.48,327.62
